This table was composed by Amy Bernard (Allen Institute),,,,,,,,
The Human Brain CCF is downloadable here: https://community.brain-map.org/t/allen-human-reference-atlas-3d-2020-new/405,,,,,,,,
"Citation: Ding, S.L., et al.  Comprehensive cellular‐resolution atlas of the adult human brain. Journal of Comparative Neurology, Volume 524:16, pages 3127–3481, 1 November 2016, DOI 10.1002/cne.24080.",,,,,,,,
 SEE HERE unflattened table: https://docs.google.com/spreadsheets/d/19m_xjwM5le7UKvt8966aEPA_a7HSCJBQY9Mq4qDe0ZQ/edit#gid=1644155102,,,,,,,,
Updated 10-06-2020 EMQ Note that only the motor cortex currently has cell types and biomarkers,,,,,,,,
Pertinent negatives/comments/numbering convention  https://portal.brain-map.org/explore/classes/nomenclature,,,,,,,,
flattened table verified and formatting adjusted to match ASCT-B reporter requirements by Ellen M. Quardokus (Indiana University),,,,,,,,
"This is for Adult human brain structure-based anatomy only;  cell types will map to these spatial designations.  Based on Allen Brain Atlas, CCF (3D), annotated by Song-Lin Ding ",,,,,,,,
Cell Types for M1 mapped by Jeremy Miller (draft version),,,,,,,,
,,,,,,,,
Structure/Region,Structure/Region,Structure/Region,Structure/Region,Structure/Region,Structure/Region,Cell type Class,specific cell type,BioMarker subset
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,LAMP5 class GABAergic neuron,Inh L1 LAMP5 PVRL2,"CBLN4, HS3ST5, RELN, TRPC3"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,LAMP5 class GABAergic neuron,Inh L1 LAMP5 RAB11FIP1,"ADAMTS20, FREM1, MYH11"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,LAMP5 class GABAergic neuron,Inh L1-6 LAMP5 AARD,"FBXL7, FREM1, KIT, PRELID2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,LAMP5 class GABAergic neuron,Inh L1-6 LAMP5 NES,"EPHA3, EYA4, KIT, NTNG1, RO"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,LAMP5 class GABAergic neuron,Inh L1-6 LAMP5 CA1,"HS3ST4, NOS1"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,LAMP5 class GABAergic neuron,Inh L5-6 LAMP5 CRABP1,"LOC105379168, PDGFD"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,LAMP5 class GABAergic neuron,Inh L3-6 PAX6 LINC01497,"PALMD, RELN"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,LAMP5 class GABAergic neuron,Inh L1 PAX6 MIR101-1,"RELN, TGFBR2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,LAMP5 class GABAergic neuron,Inh L1 LAMP5 BMP2,"COL5A2, FREM1"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,LAMP5 class GABAergic neuron,Inh L1 LAMP5 NMBR,"PCDH18, RELN"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SNCG class GABAergic neuron,Inh L1 PAX6 CHRFAM7A,"CHRNA7, CNR1, LINC01539"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SNCG class GABAergic neuron,Inh L1-6 VIP SLC7A6OS,"CNR1, PBX3"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SNCG class GABAergic neuron,Inh L2 PAX6 FREM2,"CILP2, IGFBP7"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SNCG class GABAergic neuron,Inh L1-2 VIP HTR3A,"HTR3A, LOC105373642"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SNCG class GABAergic neuron,Inh L1-2 VIP WNT4,"LOC105379064, SYT9"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SNCG class GABAergic neuron,Inh L1 PVALB SST ASIC4,"ADAM33, NCKAP5, PRELID2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SNCG class GABAergic neuron,Inh L1 SST P4HA3,"ARHGAP42, FOXO1, ST8SIA6"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,SNCG class GABAergic neuron,Inh L1 SST DEFB108B,"NDST4, SYT10"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1-3 VIP CBLN1,"HTR2C, LOC284825, TAC3"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1-2 VIP EXPH5,"SCTR, ST18"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1-3 VIP HSPB6,"CCNG2, IGFBP5"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1-2 VIP PTGER3,"KCNH8, PARD3B, SYT10"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1-2 VIP SCML4,"ABI3BP, KCNH8, LOC100506497"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1-3 VIP FNDC1,"KCNH8, LOC101927286, LOC101928842"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1-3 VIP CHRNA2,"EYA4, LOC105373642, PPP1R1C"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L2 VIP SLC6A16,"KCNT2, LOC105370456"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,VIP class GABAergic neuron,Inh L1 VIP KLHDC8B,"ITGBL1, SLITRK4"
